24-09-16 22:54:42.179 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@63db743d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@496cedbb, org.springframework.security.web.context.SecurityContextPersistenceFilter@3a0896b3, org.springframework.security.web.header.HeaderWriterFilter@6009cd34, org.springframework.security.web.authentication.logout.LogoutFilter@43e8f1c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@762bf32d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54c11750, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1753475d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b6def36, org.springframework.security.web.session.SessionManagementFilter@305b43ca, org.springframework.security.web.access.ExceptionTranslationFilter@7b377a53, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60dcf9ec] 
24-09-16 22:54:42.875 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
24-09-16 22:54:42.896 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 1068.132 seconds (JVM running for 1069.072) 
24-09-16 22:54:48.595 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 19.0.1 on DESKTOP-CUH3D99 with PID 16996 (C:\Users\intellijworkspace\journalApp\target\classes started by dell in C:\Users\intellijworkspace\journalApp) 
24-09-16 22:54:48.598 [main] DEBUG n.e.journalApp.JournalApplication - Running with Spring Boot v2.7.5, Spring v5.3.23 
24-09-16 22:54:48.598 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev" 
24-09-16 22:54:49.508 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-16 22:54:49.618 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 101 ms. Found 3 MongoDB repository interfaces. 
24-09-16 22:54:50.414 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
24-09-16 22:54:50.428 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
24-09-16 22:54:50.429 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-09-16 22:54:50.429 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68] 
24-09-16 22:54:50.524 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-09-16 22:54:50.525 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1841 ms 
